goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
,results.out
,sec/op,CI
Gol/512x512x1000-1-8,16.350273875,4%
Gol/512x512x1000-2-8,15.075288791,2%
Gol/512x512x1000-3-8,15.183104667000002,2%
Gol/512x512x1000-4-8,14.7557015625,2%
Gol/512x512x1000-5-8,15.279452187,1%
Gol/512x512x1000-6-8,15.221342750000002,1%
Gol/512x512x1000-7-8,14.531055416500001,1%
Gol/512x512x1000-8-8,14.538636583000002,1%
Gol/512x512x1000-9-8,14.293577021,1%
Gol/512x512x1000-10-8,15.113381854,2%
Gol/512x512x1000-11-8,15.412200146,2%
Gol/512x512x1000-12-8,15.6636142085,1%
Gol/512x512x1000-13-8,15.996315000000003,4%
Gol/512x512x1000-14-8,15.732596271,2%
Gol/512x512x1000-15-8,15.758953521000002,5%
Gol/512x512x1000-16-8,15.62632525,2%
geomean,15.273366759673873
